id,wta_car,wta_elec,wta_green,province,weekday,ifsunny,location,aqi,income_level,living_area,female,marriage,education,youth,older_adults,partymember,age,heard_about_global_warming,know_about_low_carbon,know_about_carbon_neutrality,know_about_carbon_policy,carusetime,conditioner1month,mainuseelec,conditionernumber,publictrans,energy_consume2020,carown,conditioner1time,cityanswer,MADT ,impgreenele
1200,5,7,5,Zhejiang,Thursday,0,rural,73,5,130,0,married,junior high,1,1,0,60,yes and agree,heard and know,never,never,6,3,1,1,0,4400,1,4,hangzhou,3,0
1021,6,4,5,Beijing,Tuesday,1,city,73,4,40,1,married,bachelor,0,0,1,39,yes and agree,heard and know,heard but do not know,never,0,4,1,1,4,3600,0,3,beijing,5,1
2648,7,7,2,Guangdong,Wednesday,1,city,49,4,46,1,unmarried,bachelor,0,1,0,48,yes and agree,heard but do not know,never,never,0,5,1,1,14,1718,0,4,guangzhou,3,1
1635,7,7,7,Hebei,Sunday,1,county seat,76,1,90,1,married,junior high,1,1,0,60,no,never,never,never,0,1,1,1,0,300,0,2,shijiazhuang,0,0
1949,1,1,1,Beijing,Wednesday,0,county seat,29,4,60,1,married,senior high,0,1,0,61,no,never,heard but do not know,heard but do not know,0,3,1,1,0,3600,0,2,beijing,2,0
2690,7,7,7,Hebei,Thursday,1,county seat,43,3,128,1,married,associate,0,0,0,26,yes and agree,heard but do not know,heard but do not know,never,0,2,1,1,10,3000,0,1,shijiazhuang,4,1
1634,6,4,4,Guangdong,Sunday,0,city,51,4,100,0,married,bachelor,1,1,0,38,yes and agree,never,never,never,5,4,1,1,0,1500,1,4,zhongshan,3,1
1114,4,4,4,Hebei,Wednesday,1,rural,62,3,250,0,married,primary,0,1,0,69,yes and agree,heard and know,heard but do not know,never,0,3,1,1,6,1440,0,2,shijiazhuang,3,1
1148,4,5,5,Guangdong,Monday,0,city,55,6,100,0,married,associate,1,0,0,50,yes and agree,heard and know,heard but do not know,heard but do not know,3,6,1,1,0,2750,1,5,zhongshan,3,1
808,7,5,7,Hebei,Sunday,1,city,60,4,57,1,divorced,junior high,0,1,0,61,yes and agree,heard and know,never,never,0,2,1,1,0,2182,0,2,shijiazhuang,3,1
1096,1,1,1,Beijing,Wednesday,1,rural,75,3,150,1,married,senior high,0,0,0,52,no,never,never,never,0,3,1,1,2,1183,0,2,beijing,3,0
2166,7,7,5,Zhejiang,Thursday,1,county seat,95,5,80,1,married,senior high,0,0,0,66,yes and agree,heard and know,heard but do not know,never,2,3,1,1,10,4719,1,2,hangzhou,3,0
2600,7,7,7,Guangdong,Wednesday,1,city,51,3,35,0,unmarried,bachelor,0,0,0,25,yes and agree,heard but do not know,heard but do not know,heard but do not know,0,0,1,0,6,4534,0,0,guangzhou,3,1
910,7,1,1,Hebei,Sunday,1,city,22,4,95,1,married,primary,1,1,0,53,no,never,never,never,0,0,1,0,2,2640,0,0,chengde,2,0
2199,1,1,1,Beijing,Thursday,1,rural,65,3,130,0,unmarried,junior high,1,0,0,14,no,never,never,never,0,3,1,1,0,1182,0,3,beijing,2,0
159,4,4,5,Hebei,Saturday,1,county seat,52,7,115,0,married,senior high,1,0,0,36,yes and agree,never,never,never,4,0,1,0,0,3188,1,0,chengde,2,1
1351,3,2,1,Guangdong,Friday,0,county seat,48,4,65,0,married,associate,1,0,0,30,yes and agree,heard but do not know,heard but do not know,never,5,4,1,1,0,3927,1,4,zhongshan,2,0
