prob_car,prob_elec,prob_green
0.6998672,0.6755809,0.52000684
0.6198411,0.5899367,0.547841
0.52306294,0.44690418,0.5865946
0.7452989,0.758542,0.52680594
0.7452989,0.729044,0.39888263
0.7094944,0.729044,0.5946464
0.8236279,0.54788536,0.394186
0.66178596,0.6817938,0.30796954
0.7452989,0.7149602,0.37720984
0.6903884,0.729044,0.3848436
0.75723594,0.729044,0.37720984
0.77856404,0.65543723,0.46296197
0.75723594,0.4106707,0.32647032
0.7094944,0.67810184,0.57703555
0.6407402,0.5899367,0.60408056
0.7409601,0.5899367,0.34839764
0.7452989,0.758542,0.3843126
0.7452989,0.37082666,0.20003083
0.7266953,0.64863265,0.28662345
0.73919916,0.7029977,0.34839764
0.75723594,0.63842607,0.5865946
0.6710809,0.73238236,0.52000684
0.68121094,0.6531357,0.394186
0.6407402,0.54788536,0.52000684
0.7452989,0.33925173,0.28662345
0.7452989,0.6974469,0.6201565
0.7486302,0.73238236,0.46081868
0.68121094,0.69092023,0.41164756
0.79581785,0.5899367,0.33210462
0.6550013,0.69092023,0.5298045
0.7452989,0.57036614,0.39888263
0.52306294,0.45110136,0.5865946
0.68936574,0.33925173,0.41029882
0.52306294,0.71958077,0.37961012
0.7452989,0.68369603,0.2610896
0.7409601,0.5899367,0.33210462
0.75723594,0.7511868,0.41618243
0.6483443,0.62284976,0.21261324
0.6710809,0.6817938,0.33210462
0.6379799,0.54788536,0.33210462
0.7094944,0.6058384,0.3848436
0.59071815,0.78058875,0.59053236
0.52306294,0.42219663,0.41029882
0.6407402,0.6718516,0.5298045
0.66119945,0.5899367,0.32344797
0.68121094,0.57070386,0.402166
0.7452989,0.729044,0.40666866
0.6379799,0.5899367,0.30796954
0.7364174,0.6817938,0.5865946
0.8236279,0.33925173,0.31404728
0.52306294,0.614779,0.41618243
0.6288781,0.529712,0.24750361
0.77876073,0.5899367,0.32344797
0.6714848,0.5899367,0.32344797
0.7452989,0.5899367,0.547841
0.7881805,0.7249925,0.46296197
0.7452989,0.5899367,0.5298045
0.7478094,0.65543723,0.47274342
0.68936574,0.6718516,0.3848436
0.6379799,0.5940344,0.32344797
0.65500003,0.65543723,0.5436165
0.7452989,0.6769702,0.33210462
0.5970286,0.5899367,0.394186
0.7364174,0.6817938,0.32344797
0.68121094,0.69092023,0.5865946
0.7094944,0.3912821,0.28662345
0.52306294,0.62284976,0.43520194
0.75164646,0.75296575,0.518063
0.8236279,0.72647023,0.3848436
0.6407402,0.5899367,0.5298045
0.45549488,0.5899367,0.52000684
0.79581785,0.54788536,0.33210462
0.59071815,0.65543723,0.5999978
0.8327178,0.60678065,0.43823397
0.7766493,0.54788536,0.33210462
0.75003564,0.74720263,0.5999978
0.7409601,0.5899367,0.32344797
0.75723594,0.6198288,0.39888263
0.68121094,0.63638526,0.37720984
0.6998672,0.69092023,0.5298045
0.7364174,0.7149602,0.52000684
0.7452989,0.6429997,0.52000684
0.78237605,0.74720263,0.59053236
0.6407402,0.6751885,0.3848436
0.7891704,0.735826,0.5338534
0.71704245,0.62284976,0.22501907
0.61065507,0.62284976,0.21261324
0.8236279,0.49410254,0.23491348
0.7364174,0.7522197,0.41618243
0.7266953,0.6755809,0.36802536
0.64830303,0.78348064,0.518063
0.6710809,0.5899367,0.57703555
0.7452989,0.529712,0.29391682
0.5753213,0.5940344,0.32344797
0.6998672,0.5850872,0.3848436
0.7452989,0.614779,0.52000684
0.7891704,0.65543723,0.47274342
0.71704245,0.529712,0.2610896
0.7094944,0.6531357,0.57703555
0.7452989,0.52419186,0.2610896
0.6710809,0.3915177,0.394186
0.47790265,0.58002186,0.41029882
0.71704245,0.37082666,0.20003083
0.7452989,0.38748354,0.42429587
0.7452989,0.614779,0.5380915
0.71704245,0.33925173,0.41029882
0.63304967,0.5899367,0.33210462
0.68121094,0.5899367,0.3437368
0.5389725,0.6817938,0.46081868
0.7452989,0.69789183,0.39888263
0.75723594,0.63690674,0.394186
0.52306294,0.5899367,0.33210462
0.7298236,0.67067564,0.5138618
0.7094944,0.69092023,0.5946464
0.7409601,0.5899367,0.3437368
0.77858055,0.65543723,0.48105103
0.71704245,0.69092023,0.394186
0.75743926,0.54788536,0.33210462
0.8048578,0.49410254,0.24204834
0.6198411,0.5899367,0.5865946
0.68121094,0.67810184,0.5865946
0.7452989,0.5899367,0.52000684
0.8178826,0.7302506,0.47274342
0.4755573,0.5899367,0.31640565
0.7409601,0.73238236,0.6201565
0.63360155,0.65543723,0.39714983
0.73802847,0.61572754,0.39714983
0.3774748,0.53393614,0.36434537
0.7452989,0.3822409,0.32344797
0.7486302,0.6817938,0.41618243
0.7094944,0.5899367,0.5298045
0.8236279,0.66597587,0.3848436
0.65667975,0.293993,0.29472387
0.7452989,0.58919966,0.38950047
0.7094944,0.67400736,0.2846254
0.6998672,0.5899367,0.52000684
0.4755573,0.73238236,0.36802536
0.7094944,0.5817809,0.2610896
0.7486302,0.6817938,0.394186
0.4755573,0.5899367,0.30796954
0.7094944,0.5899367,0.5298045
0.7298236,0.52433133,0.29530445
0.7452989,0.52419186,0.33210462
0.67937285,0.729044,0.32344797
0.52306294,0.66597587,0.57703555
0.7452989,0.5608222,0.41618243
0.75164646,0.78058875,0.4065935
0.8327178,0.73238236,0.33210462
0.7409601,0.69092023,0.5865946
0.7452989,0.5501502,0.2465366
0.7452989,0.52419186,0.57703555
0.79581785,0.5899367,0.33210462
0.8081723,0.78348064,0.41465276
0.66178596,0.529712,0.5865946
0.8236279,0.73238236,0.52000684
0.7298236,0.72756857,0.33210462
0.7452989,0.54788536,0.5865946
0.8081723,0.61572754,0.4857191
0.7452989,0.653365,0.32344797
0.7452989,0.5899367,0.52000684
0.7364174,0.5899367,0.40666866
0.68936574,0.33925173,0.24204834
0.68121094,0.7511868,0.5946464
0.7452989,0.5523345,0.28662345
0.47790265,0.33925173,0.29472387
0.7409601,0.729044,0.3437368
0.64830303,0.78348064,0.5999978
0.71240807,0.6787482,0.5865946
0.7094944,0.33925173,0.31404728
0.75723594,0.5899367,0.5865946
0.7564341,0.61572754,0.4065935
0.8081723,0.50356203,0.37374118
0.73952925,0.65543723,0.41465276
0.7452989,0.5899367,0.5298045
0.5882926,0.7149602,0.402166
0.7452989,0.5841488,0.28662345
0.8236279,0.54788536,0.5865946
0.43079388,0.47266603,0.3848436
0.6407402,0.69092023,0.5298045
0.8236279,0.5899367,0.31640565
0.7364174,0.7342977,0.28064597
0.7094944,0.39533028,0.30564594
0.66178596,0.42634067,0.30564594
0.6379799,0.5899367,0.31640565
0.5389725,0.6198288,0.37720984
0.68936574,0.73238236,0.32344797
0.8081723,0.65543723,0.46296197
0.7094944,0.70652765,0.57703555
0.7364174,0.44690418,0.33210462
0.5970286,0.54788536,0.33210462
0.6407402,0.6625956,0.37961012
0.5970286,0.5899367,0.34839764
0.7452989,0.67810184,0.5865946
0.68936574,0.69092023,0.37720984
0.7094944,0.52419186,0.52000684
0.8236279,0.6569692,0.3848436
0.7094944,0.54788536,0.32344797
0.4755573,0.5899367,0.31640565
0.5882926,0.6718516,0.52000684
0.7452989,0.5899367,0.37720984
0.7452989,0.33925173,0.28662345
0.6483443,0.7511868,0.57703555
0.8236279,0.5899367,0.30796954
0.69244874,0.62284976,0.20565122
0.73716986,0.65543723,0.4065935
0.7452989,0.755421,0.33797574
0.7266953,0.5899367,0.33647242
0.6789769,0.529712,0.3848436
0.77858055,0.74979657,0.41919717
0.52306294,0.5899367,0.33953223
0.6972136,0.69092023,0.41164756
0.7094944,0.33925173,0.2591873
0.7452989,0.63842607,0.36802536
0.7452989,0.293993,0.34685153
0.7409601,0.54788536,0.5865946
0.75723594,0.6800262,0.60408056
0.71240807,0.6531357,0.3848436
0.6300226,0.44690418,0.33210462
0.7409601,0.69092023,0.402166
0.47790265,0.6755809,0.3848436
0.8081723,0.43979537,0.34371665
0.7094944,0.7029977,0.57703555
0.5557518,0.5899367,0.36802536
0.7364174,0.729044,0.41618243
0.68121094,0.614779,0.5865946
0.7486302,0.50712013,0.39508703
0.59528166,0.5899367,0.5865946
0.7452989,0.49231023,0.26539445
0.7409601,0.69092023,0.41164756
0.78237605,0.74720263,0.47274342
0.7452989,0.7144298,0.36802536
0.8081723,0.78348064,0.49553776
0.7452989,0.52419186,0.21261324
0.8081723,0.61572754,0.4287922
0.7364174,0.7050567,0.35869268
0.75723594,0.66597587,0.5865946
0.7452989,0.56425935,0.28662345
0.7452989,0.70652765,0.35265338
0.8081723,0.65543723,0.59053236
0.7452989,0.529712,0.26489386
0.6740024,0.69385505,0.3848436
0.75723594,0.60952127,0.394186
0.68936574,0.6755809,0.547841
0.52306294,0.6817938,0.42067814
0.7452989,0.6769702,0.3848436
0.7094944,0.5899367,0.57703555
0.7452989,0.729044,0.57703555
0.71704245,0.7342977,0.46923426
0.6407402,0.74806917,0.57703555
0.7364174,0.69092023,0.52000684
0.6714848,0.33925173,0.23491348
0.7094944,0.5899367,0.5298045
0.66178596,0.62284976,0.22501907
0.7452989,0.5899367,0.5380915
0.6998672,0.729044,0.3848436
0.68121094,0.69789183,0.41618243
0.7452989,0.74806917,0.5865946
0.701591,0.59294796,0.4065935
0.52306294,0.6012596,0.47679272
0.7409601,0.5899367,0.3848436
0.7364174,0.5899367,0.5298045
0.6756345,0.6755809,0.6201565
0.6407402,0.6538251,0.20086405
0.7452989,0.6531357,0.52000684
0.7452989,0.5850872,0.52000684
0.8236279,0.73238236,0.33953223
0.77876073,0.5899367,0.33210462
0.7266953,0.729044,0.31640565
0.8236279,0.54788536,0.394186
