prob_car,prob_elec,prob_green
0.7348878,0.6652428,0.52485913
0.6458109,0.6652428,0.52485913
0.5259844,0.4558267,0.5464306
0.72743154,0.6976632,0.46674374
0.72743154,0.68212306,0.36395776
0.7266818,0.68212306,0.5342755
0.7926312,0.52307874,0.38177
0.6794035,0.6117641,0.32157513
0.72743154,0.70382804,0.3538086
0.6891507,0.6506489,0.41980746
0.7266818,0.68212306,0.34424576
0.7689734,0.7067362,0.5581588
0.7266818,0.37945133,0.31133285
0.7266818,0.6371162,0.5342755
0.6689208,0.6652428,0.5520583
0.72743154,0.6652428,0.3545781
0.72743154,0.6976632,0.2993018
0.72743154,0.40483743,0.24819225
0.72743154,0.5493607,0.32042816
0.7266818,0.6329965,0.34836236
0.7266818,0.6313774,0.5464306
0.6671413,0.68212306,0.52485913
0.72525084,0.57871366,0.3683654
0.676185,0.6736222,0.52485913
0.72743154,0.38746077,0.32042816
0.72743154,0.6736222,0.5464306
0.7348878,0.68212306,0.39223444
0.72525084,0.68212306,0.3683654
0.79200953,0.6652428,0.34836236
0.7090775,0.68212306,0.52485913
0.72743154,0.52542895,0.36395776
0.5259844,0.4558267,0.5243623
0.7266818,0.38746077,0.48755682
0.5259844,0.6976632,0.44523016
0.72743154,0.5963174,0.28910884
0.72743154,0.6652428,0.36426848
0.7266818,0.70382804,0.44093683
0.6891507,0.68122256,0.2574966
0.6815104,0.6371162,0.33549434
0.62966543,0.52307874,0.34836236
0.7266818,0.4558267,0.3718863
0.5850031,0.7067362,0.5342755
0.5259844,0.38746077,0.48755682
0.6643317,0.68212306,0.52485913
0.6890642,0.6075339,0.34836236
0.70374703,0.4558267,0.3683654
0.72743154,0.68212306,0.39223444
0.62966543,0.6652428,0.31246227
0.72743154,0.63741446,0.5464306
0.7926312,0.38746077,0.33010897
0.5259844,0.6671788,0.39223444
0.67396724,0.6371162,0.2815415
0.7861548,0.6652428,0.33549434
0.6890642,0.6075339,0.34836236
0.72743154,0.6652428,0.52485913
0.7705673,0.53069216,0.5814162
0.72743154,0.6652428,0.52485913
0.7217907,0.7067362,0.5581588
0.7266818,0.6329965,0.3718863
0.62966543,0.6652428,0.33549434
0.6669354,0.7067362,0.52485913
0.72743154,0.5146211,0.3388695
0.5456511,0.6329965,0.41613355
0.72743154,0.6371162,0.3388695
0.72525084,0.68212306,0.5738858
0.7266818,0.38746077,0.32042816
0.5259844,0.68122256,0.46674374
0.6730284,0.53069216,0.5895499
0.7926312,0.70382804,0.41980746
0.6643317,0.6652428,0.52485913
0.51215005,0.6652428,0.52485913
0.79200953,0.49606124,0.34836236
0.5627296,0.7126269,0.5738858
0.79200953,0.57871366,0.38177
0.7604189,0.49606124,0.34836236
0.7629765,0.7223972,0.5342755
0.72743154,0.6652428,0.36426848
0.7266818,0.63741446,0.36395776
0.6671413,0.63741446,0.3408446
0.7348878,0.68212306,0.52485913
0.72743154,0.70382804,0.52485913
0.72743154,0.68212306,0.52485913
0.76365906,0.7223972,0.5342755
0.68068993,0.54539406,0.3683654
0.7768958,0.6866059,0.52485913
0.69172925,0.68122256,0.26039466
0.6246663,0.65729433,0.2574966
0.7926312,0.38746077,0.28128466
0.72743154,0.6671788,0.39223444
0.72743154,0.6329965,0.34424576
0.5694984,0.7067362,0.54987806
0.6815104,0.6652428,0.5738858
0.72743154,0.6371162,0.3071424
0.5853803,0.64074767,0.34836236
0.7348878,0.63741446,0.3718863
0.72743154,0.6671788,0.52485913
0.7768958,0.7126269,0.39321
0.69172925,0.6371162,0.28910884
0.7266818,0.7210605,0.5342755
0.72743154,0.5146211,0.28910884
0.6815104,0.44743624,0.3683654
0.48424885,0.5493607,0.48755682
0.69172925,0.40483743,0.24819225
0.72743154,0.44743624,0.39223444
0.72743154,0.6671788,0.52485913
0.7224769,0.38746077,0.48755682
0.5790154,0.6329965,0.33549434
0.6924437,0.6652428,0.4047263
0.48424885,0.6371162,0.39223444
0.72743154,0.6671788,0.36395776
0.6794035,0.52307874,0.38177
0.5259844,0.6329965,0.34836236
0.67396724,0.5744758,0.49700397
0.7266818,0.68212306,0.5464306
0.72743154,0.6652428,0.4252281
0.7768958,0.7126269,0.54987806
0.69172925,0.68212306,0.3718863
0.7521778,0.52307874,0.34836236
0.7861548,0.38746077,0.28128466
0.7056551,0.6652428,0.5738858
0.70374703,0.6371162,0.5738858
0.72743154,0.6652428,0.52485913
0.7768958,0.7126269,0.42892578
0.5259844,0.6652428,0.30922705
0.72743154,0.6652428,0.5464306
0.6249009,0.7067362,0.34822193
0.7351376,0.5235654,0.37790447
0.46840057,0.6371162,0.33549434
0.72743154,0.44743624,0.34836236
0.7348878,0.6371162,0.39223444
0.7266818,0.6652428,0.52485913
0.7926312,0.57871366,0.38177
0.6794035,0.37945133,0.31133285
0.72743154,0.6371162,0.36395776
0.6952766,0.68122256,0.31358692
0.7348878,0.6652428,0.52485913
0.5259844,0.6652428,0.3408446
0.7266818,0.54116404,0.29783568
0.7348878,0.6371162,0.38177
0.5259844,0.6652428,0.30922705
0.7266818,0.6652428,0.52485913
0.65140903,0.40483743,0.24819225
0.72743154,0.5146211,0.3388695
0.7348878,0.6329965,0.34836236
0.5259844,0.6417484,0.5342755
0.72743154,0.5188071,0.44093683
0.6669354,0.7126269,0.3824269
0.79200953,0.6652428,0.3388695
0.72743154,0.68212306,0.5464306
0.72743154,0.52216053,0.2760631
0.72743154,0.6661303,0.5464306
0.79200953,0.6652428,0.34836236
0.77755,0.7067362,0.3406544
0.6794035,0.6371162,0.5342755
0.7926312,0.6652428,0.52485913
0.69975895,0.6671788,0.3388695
0.72743154,0.6736222,0.5464306
0.77755,0.5235654,0.5814162
0.72743154,0.6371162,0.34836236
0.72743154,0.6652428,0.52485913
0.72743154,0.6652428,0.39223444
0.7266818,0.38746077,0.28987163
0.6569362,0.70382804,0.5738858
0.72743154,0.5156626,0.31133285
0.48424885,0.38746077,0.31133285
0.72743154,0.6652428,0.4252281
0.5694984,0.7067362,0.5464306
0.69172925,0.7411158,0.5342755
0.7266818,0.38746077,0.33010897
0.7266818,0.6652428,0.5464306
0.7698987,0.5235654,0.37005806
0.77755,0.39473405,0.48454154
0.72162014,0.7067362,0.3406544
0.72743154,0.6652428,0.52485913
0.6032615,0.70382804,0.3683654
0.72743154,0.5493607,0.32042816
0.7926312,0.6736222,0.5342755
0.4615451,0.48039728,0.3683654
0.7090775,0.68212306,0.52485913
0.7926312,0.6652428,0.32157513
0.72743154,0.68122256,0.2685822
0.7266818,0.38746077,0.33010897
0.6794035,0.38746077,0.33010897
0.62966543,0.6652428,0.30922705
0.46840057,0.6371162,0.3538086
0.7266818,0.6329965,0.34836236
0.77755,0.7067362,0.39321
0.7266818,0.6652428,0.5342755
0.72743154,0.4558267,0.34836236
0.5456511,0.48768437,0.33549434
0.676185,0.6682071,0.44523016
0.5456511,0.6329965,0.33549434
0.72743154,0.6371162,0.5464306
0.7266818,0.6506489,0.3538086
0.7266818,0.6661303,0.52485913
0.7926312,0.57871366,0.38177
0.6952766,0.49606124,0.34836236
0.5259844,0.6652428,0.30922705
0.61202645,0.6652428,0.52485913
0.72743154,0.6652428,0.3538086
0.72743154,0.38746077,0.32042816
0.6891507,0.70382804,0.5738858
