"id","wta_car","wta_elec","wta_green","ifpollution","living_area_ln","age_ln","is_bachelor","location","female","married","income_level","youth","older_adults","partymember","province","weekday","ifsunny","caruse","conditioner1month","mainuseelec","heard_about_global_warming","know_about_low_carbon","know_about_carbon_neutrality","know_about_carbon_policy","publictrans","conditionernumber","energy_consume2020","weights"
1200,"5","7","5",0,4.86753445045558,4.0943445622221,0,"rural",0,1,5,"1","1","0","Zhejiang","Thursday","0",0,3,"1","yes and agree","heard and know","never","never",0,1,4400,0.705951201732646
1021,"6","4","5",0,3.68887945411394,3.66356164612965,1,"city",1,1,4,"0","0","1","Beijing","Tuesday","1",1,4,"1","yes and agree","heard and know","heard but do not know","never",4,1,3600,0.29
2648,"7","7","2",0,3.8286413964891,3.87120101090789,1,"city",1,0,4,"0","1","0","Guangdong","Wednesday","1",1,5,"1","yes and agree","heard but do not know","never","never",14,1,1718,0.29
1635,"7","7","7",0,4.49980967033027,4.0943445622221,0,"county seat",1,1,1,"1","1","0","Hebei","Sunday","1",1,1,"1","no","never","never","never",0,1,300,0.629313644722153
1949,"1","1","1",0,4.0943445622221,4.11087386417331,0,"county seat",1,1,4,"0","1","0","Beijing","Wednesday","0",1,3,"1","no","never","heard but do not know","heard but do not know",0,1,3600,0.29
2690,"7","7","7",0,4.85203026391962,3.25809653802148,0,"county seat",1,1,3,"0","0","0","Hebei","Thursday","1",1,2,"1","yes and agree","heard but do not know","heard but do not know","never",10,1,3000,0.446925814010253
1634,"6","4","4",0,4.60517018598809,3.63758615972639,1,"city",0,1,4,"1","1","0","Guangdong","Sunday","0",0,4,"1","yes and agree","never","never","never",0,1,1500,0.29
1114,"4","4","4",0,5.52146091786225,4.23410650459726,0,"rural",0,1,3,"0","1","0","Hebei","Wednesday","1",1,3,"1","yes and agree","heard and know","heard but do not know","never",6,1,1440,2.39922059636892
1148,"4","5","5",0,4.60517018598809,3.91202300542815,0,"city",0,1,6,"1","0","0","Guangdong","Monday","0",0,6,"1","yes and agree","heard and know","heard but do not know","heard but do not know",0,1,2750,0.29
808,"7","5","7",0,4.04305126783455,4.11087386417331,0,"city",1,0,4,"0","1","0","Hebei","Sunday","1",1,2,"1","yes and agree","heard and know","never","never",0,1,2182,0.599895843933836
1096,"1","1","1",0,5.01063529409626,3.95124371858143,0,"rural",1,1,3,"0","0","0","Beijing","Wednesday","1",1,3,"1","no","never","never","never",2,1,1183,0.29
2166,"7","7","5",0,4.38202663467388,4.18965474202643,0,"county seat",1,1,5,"0","0","0","Zhejiang","Thursday","1",0,3,"1","yes and agree","heard and know","heard but do not know","never",10,1,4719,0.29
2600,"7","7","7",0,3.55534806148941,3.2188758248682,1,"city",0,0,3,"0","0","0","Guangdong","Wednesday","1",1,0,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",6,0,4534,0.562809000235141
910,"7","1","1",0,4.55387689160054,3.97029191355212,0,"city",1,1,4,"1","1","0","Hebei","Sunday","1",1,0,"1","no","never","never","never",2,0,2640,4.91507732311797
2199,"1","1","1",0,4.86753445045558,2.63905732961526,0,"rural",0,0,3,"1","0","0","Beijing","Thursday","1",1,3,"1","no","never","never","never",0,1,1182,7.62989449113376
159,"4","4","5",0,4.74493212836325,3.58351893845611,0,"county seat",0,1,7,"1","0","0","Hebei","Saturday","1",0,0,"1","yes and agree","never","never","never",0,0,3188,0.965183909066345
1351,"3","2","1",0,4.17438726989564,3.40119738166216,0,"county seat",0,1,4,"1","0","0","Guangdong","Friday","0",0,4,"1","yes and agree","heard but do not know","heard but do not know","never",0,1,3927,0.445985331052855
1196,"7","7","7",0,4.55387689160054,3.3322045101752,1,"city",0,1,6,"1","0","0","Zhejiang","Monday","0",1,0,"1","yes and agree","heard and know","heard and know","heard but do not know",10,0,3792,0.48898871152122
313,"4","4","5",0,4.47733681447821,3.17805383034795,1,"city",0,1,5,"0","0","0","Guangdong","Thursday","1",1,0,"1","yes and agree","heard and know","heard and know","heard and know",6,0,4400,0.590180185840672
800,"7","7","5",0,4.35670882668959,3.76120011569356,0,"county seat",1,1,4,"1","1","0","Beijing","Sunday","1",1,4,"1","yes and agree","never","never","heard but do not know",4,1,1307,0.565605561669616
2338,"7","7","5",0,3.91202300542815,3.71357206670431,0,"county seat",1,1,3,"1","0","0","Guangdong","Saturday","0",0,4,"1","no","never","never","never",0,1,3750,1.62766381677959
3352,"1","1","1",0,4.59511985013459,3.40119738166216,0,"county seat",1,0,2,"0","1","0","Guangdong","Friday","1",0,6,"1","yes and agree","heard but do not know","never","heard but do not know",0,1,4859,0.373432195785504
1015,"1","1","1",0,5.19295685089021,4.00733318523247,0,"rural",1,1,5,"0","0","0","Beijing","Tuesday","1",1,4,"1","no","never","never","never",0,1,2530,0.29
1111,"7","7","7",0,5.07517381523383,4.21950770517611,0,"rural",1,1,3,"0","1","0","Hebei","Wednesday","1",1,2,"1","no","never","never","never",0,1,2182,2.057006344708
1384,"3","4","4",0,5.01063529409626,3.52636052461616,0,"city",1,1,5,"1","1","0","Guangdong","Friday","0",0,4,"1","no","heard but do not know","heard but do not know","never",0,1,4267,0.875675843462376
826,"4","7","4",0,4.33073334028633,3.49650756146648,0,"city",1,1,5,"1","0","0","Hebei","Sunday","1",1,2,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",5,1,1625,0.29
1008,"2","2","3",0,3.58351893845611,4.15888308335967,0,"city",0,0,3,"0","0","0","Beijing","Tuesday","1",1,0,"1","no","never","heard but do not know","never",8,0,1200,0.627921892839261
2411,"4","3","2",0,4.46590811865458,3.73766961828337,0,"city",1,1,2,"1","1","0","Guangdong","Sunday","0",0,0,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",0,0,4800,0.593131073837361
612,"4","4","4",1,4.55387689160054,4.07753744390572,0,"rural",1,1,4,"0","1","0","Hebei","Friday","1",1,0,"1","yes and agree","heard but do not know","never","never",5,0,2222,0.612176017921065
2416,"5","5","5",0,4.29045944114839,3.66356164612965,0,"city",1,1,4,"1","0","0","Beijing","Sunday","1",0,0,"1","yes and agree","heard but do not know","heard but do not know","never",2,0,2162,0.29
616,"4","7","2",0,3.80666248977032,3.25809653802148,1,"city",1,1,3,"1","1","0","Guangdong","Friday","1",1,0,"1","yes but disagree","familiar","heard but do not know","heard but do not know",3,0,1100,0.446925814010253
1115,"3","3","2",0,3.73766961828337,3.98898404656427,0,"city",0,0,4,"0","1","0","Beijing","Wednesday","1",1,0,"1","no","heard and know","never","never",16,0,3320,0.408435106723692
2086,"7","7","7",0,4.31748811353631,3.49650756146648,1,"city",1,1,3,"0","0","0","Guangdong","Thursday","1",1,5,"1","yes and agree","heard and know","heard but do not know","heard but do not know",2,1,844,0.29
1884,"6","6","6",0,4.60517018598809,3.17805383034795,0,"county seat",0,1,4,"1","0","0","Hebei","Tuesday","1",0,3,"1","yes and agree","heard but do not know","never","never",0,1,4400,1.77838741966437
1198,"6","5","5",0,4.06044301054642,3.55534806148941,0,"city",1,1,2,"0","0","0","Guangdong","Thursday","0",0,0,"1","yes and agree","heard but do not know","never","never",0,0,1950,0.833373707099913
1644,"5","7","5",0,4.44265125649032,3.49650756146648,0,"county seat",0,1,5,"1","0","0","Guangdong","Sunday","1",0,4,"1","yes and agree","heard but do not know","heard but do not know","never",0,1,2875,0.389552227928835
