"Variable","Global Warming","Low Carbon","Neutrality","Policy"
"locationcounty seat","-0.333** (0.150)","-0.341** (0.150)","-0.317** (0.149)","-0.294** (0.150)"
"locationrural","-0.186 (0.184)","-0.195 (0.185)","-0.156 (0.184)","-0.140 (0.183)"
"income_level","0.099** (0.050)","0.100** (0.050)","0.094* (0.050)","0.083* (0.050)"
"know_about_carbon_neutralityheard but do not know","","","0.265* (0.139)",""
"know_about_carbon_neutralityheard and know","","","0.684*** (0.244)",""
"know_about_carbon_neutralityfamiliar","","","0.273 (0.874)",""
"know_about_carbon_policyheard but do not know","","","","0.357** (0.159)"
"know_about_carbon_policyheard and know","","","","0.972*** (0.286)"
"know_about_carbon_policyfamiliar","","","","0.612 (0.768)"
"AIC","3328.9","3329.11","3322.7","3317.57"
"BIC","3506.79","3511.81","3505.4","3500.27"
"N","905","905","905","905"
