Block,Dependent Variable,B,max(log2(T)+1),eta,gamma,lambda
Pref Alt,Transportation-mode shifts I,50,8,0.143,2.561,0.949
Pref Alt,Home-energy reduction I,60,2,0.131,2.107,2.094
Pref Alt,Green-electricity I,40,2,0.125,3.382,2.441
Pref Alt,Transportation-mode shifts II,190,6,0.194,1.349,2.290
Pref Alt,Home-energy reduction II,20,2,0.189,1.575,1.986
Pref Alt,Green-electricity II,40,4,0.076,1.834,1.271
WTA,Transportation-mode shifts I,430,6,0.021,1.713,3.857
WTA,Home-energy reduction I,70,3,0.055,1.940,4.726
WTA,Green-electricity I,250,6,0.078,1.827,3.313
WTA,Transportation-mode shifts II,490,4,0.018,0.646,3.201
WTA,Home-energy reduction II,150,3,0.098,1.841,4.256
WTA,Green-electricity II,310,3,0.012,1.252,4.797
