"Variable","Global Warming","Low Carbon","Neutrality","Policy"
"is_bachelor","0.523** (0.223)","0.560** (0.224)","0.515** (0.225)","0.489** (0.223)"
"female","0.422** (0.180)","0.387** (0.179)","0.439** (0.181)","0.413** (0.179)"
"know_about_low_carbonheard but do not know","","0.093 (0.227)","",""
"know_about_low_carbonheard and know","","0.532* (0.272)","",""
"know_about_low_carbonfamiliar","","1.089* (0.599)","",""
"know_about_carbon_neutralityheard but do not know","","","0.319 (0.195)",""
"know_about_carbon_neutralityheard and know","","","0.696** (0.324)",""
"know_about_carbon_neutralityfamiliar","","","0.376 (0.753)",""
"know_about_carbon_policyheard but do not know","","","","0.641*** (0.208)"
"know_about_carbon_policyheard and know","","","","0.888** (0.363)"
"know_about_carbon_policyfamiliar","","","","0.695 (0.828)"
"AIC","1719.61","1719.86","1721.52","1713.93"
"BIC","1873.49","1877.91","1879.57","1871.97"
"N","473","473","473","473"
