"Variable","MADT: GW","MADT: LC","MADT: Neu","MADT: Pol","Car ownership: GW","Car ownership: LC","Car ownership: Neu","Car ownership: Pol","City controls: GW","City controls: LC","City controls: Neu","City controls: Pol"
"ifpollution","-0.151 (0.227)","-0.106 (0.227)","-0.152 (0.228)","-0.133 (0.227)","-0.138 (0.228)","-0.090 (0.228)","-0.139 (0.229)","-0.121 (0.228)","-0.200 (0.243)","-0.161 (0.243)","-0.206 (0.244)","-0.194 (0.243)"
"living_area_ln","-0.002 (0.204)","0.025 (0.203)","0.058 (0.205)","0.027 (0.204)","0.020 (0.206)","0.049 (0.205)","0.082 (0.206)","0.045 (0.206)","-0.070 (0.209)","-0.050 (0.208)","-0.005 (0.209)","-0.045 (0.209)"
"age_ln","0.152 (0.289)","0.175 (0.293)","0.140 (0.289)","0.153 (0.288)","0.118 (0.293)","0.138 (0.297)","0.102 (0.293)","0.119 (0.293)","0.154 (0.303)","0.192 (0.305)","0.143 (0.303)","0.201 (0.304)"
"is_bachelor","-0.043 (0.216)","-0.015 (0.218)","-0.009 (0.219)","0.004 (0.219)","-0.042 (0.216)","-0.017 (0.218)","-0.011 (0.219)","0.006 (0.219)","0.069 (0.227)","0.105 (0.227)","0.089 (0.229)","0.103 (0.229)"
"locationcounty seat","-0.291 (0.188)","-0.298 (0.189)","-0.338* (0.188)","-0.337* (0.188)","-0.289 (0.185)","-0.297 (0.186)","-0.336* (0.184)","-0.341* (0.184)","-0.279 (0.190)","-0.274 (0.192)","-0.315* (0.190)","-0.327* (0.190)"
"locationrural","-0.503** (0.209)","-0.515** (0.209)","-0.559*** (0.208)","-0.551*** (0.207)","-0.520** (0.210)","-0.534** (0.210)","-0.578*** (0.208)","-0.570*** (0.207)","-0.468** (0.217)","-0.469** (0.218)","-0.517** (0.216)","-0.500** (0.215)"
"female","0.253* (0.151)","0.227 (0.150)","0.240 (0.151)","0.221 (0.150)","0.239 (0.152)","0.211 (0.152)","0.224 (0.152)","0.207 (0.151)","0.212 (0.155)","0.191 (0.154)","0.206 (0.155)","0.192 (0.154)"
"married","-0.106 (0.227)","-0.110 (0.227)","-0.105 (0.227)","-0.086 (0.228)","-0.083 (0.229)","-0.084 (0.229)","-0.078 (0.229)","-0.062 (0.230)","-0.149 (0.234)","-0.149 (0.234)","-0.145 (0.233)","-0.116 (0.235)"
"income_level","0.085 (0.058)","0.078 (0.058)","0.082 (0.058)","0.076 (0.059)","0.092 (0.059)","0.086 (0.059)","0.089 (0.059)","0.082 (0.059)","0.131** (0.060)","0.127** (0.060)","0.133** (0.061)","0.124** (0.061)"
"youth1","0.223 (0.161)","0.216 (0.162)","0.208 (0.161)","0.224 (0.161)","0.232 (0.162)","0.224 (0.162)","0.217 (0.162)","0.232 (0.162)","0.125 (0.167)","0.115 (0.167)","0.101 (0.167)","0.114 (0.167)"
"older_adults1","0.035 (0.164)","0.034 (0.164)","0.028 (0.164)","0.024 (0.164)","0.030 (0.164)","0.028 (0.165)","0.023 (0.164)","0.020 (0.164)","0.119 (0.169)","0.113 (0.169)","0.107 (0.169)","0.103 (0.169)"
"partymember1","0.230 (0.324)","0.284 (0.324)","0.281 (0.326)","0.305 (0.324)","0.242 (0.324)","0.299 (0.324)","0.292 (0.326)","0.317 (0.324)","0.023 (0.332)","0.057 (0.333)","0.069 (0.334)","0.087 (0.333)"
"MADT","-0.004 (0.052)","-0.003 (0.052)","-0.006 (0.052)","0.002 (0.052)","","","","","","","",""
"heard_about_global_warmingyes and agree","0.402** (0.169)","","","","0.413** (0.170)","","","","0.308* (0.175)","","",""
"heard_about_global_warmingyes but disagree","0.004 (0.228)","","","","0.023 (0.229)","","","","-0.009 (0.231)","","",""
"know_about_low_carbonheard but do not know","","0.133 (0.163)","","","","0.148 (0.164)","","","","0.109 (0.167)","",""
"know_about_low_carbonheard and know","","0.405* (0.232)","","","","0.427* (0.233)","","","","0.441* (0.245)","",""
"know_about_low_carbonfamiliar","","-0.254 (0.657)","","","","-0.242 (0.657)","","","","-0.250 (0.678)","",""
"know_about_carbon_neutralityheard but do not know","","","0.293* (0.173)","","","","0.315* (0.175)","","","","0.287 (0.179)",""
"know_about_carbon_neutralityheard and know","","","0.328 (0.313)","","","","0.333 (0.313)","","","","0.366 (0.323)",""
"know_about_carbon_neutralityfamiliar","","","-2.012** (0.994)","","","","-1.979** (0.994)","","","","-2.009** (1.002)",""
"know_about_carbon_policyheard but do not know","","","","0.180 (0.186)","","","","0.183 (0.186)","","","","0.247 (0.190)"
"know_about_carbon_policyheard and know","","","","0.686* (0.365)","","","","0.695* (0.365)","","","","0.848** (0.376)"
"know_about_carbon_policyfamiliar","","","","-0.972 (0.824)","","","","-0.966 (0.822)","","","","-1.092 (0.852)"
"carown","","","","","-0.120 (0.170)","-0.137 (0.170)","-0.138 (0.171)","-0.109 (0.168)","","","",""
"caruse","","","","","","","","","0.057 (0.180)","0.091 (0.180)","0.091 (0.181)","0.063 (0.178)"
"AIC","2423.32","2428.99","2424.4","2426.64","2422.83","2428.35","2423.77","2426.23","2397.1","2399.38","2395.24","2394.95"
"BIC","2589.87","2600.04","2595.45","2597.69","2589.38","2599.4","2594.82","2597.28","2617.66","2624.45","2620.31","2620.02"
"N","666","666","666","666","666","666","666","666","666","666","666","666"
