"Variable","Global Warming","Low Carbon","Neutrality","Policy"
"ifpollution","0.228 (0.188)","0.249 (0.189)","0.248 (0.188)","0.251 (0.187)"
"living_area_ln","-0.078 (0.162)","-0.076 (0.162)","-0.080 (0.162)","-0.100 (0.162)"
"age_ln","0.025 (0.253)","0.023 (0.255)","0.086 (0.252)","0.092 (0.252)"
"is_bachelor","0.176 (0.166)","0.191 (0.168)","0.099 (0.167)","0.095 (0.167)"
"locationcounty seat","-0.325** (0.150)","-0.329** (0.150)","-0.306** (0.150)","-0.284* (0.150)"
"locationrural","-0.114 (0.180)","-0.122 (0.180)","-0.087 (0.179)","-0.076 (0.179)"
"female","0.014 (0.125)","0.024 (0.126)","0.066 (0.127)","0.033 (0.126)"
"married","-0.267 (0.182)","-0.253 (0.183)","-0.264 (0.181)","-0.263 (0.181)"
"income_level","0.097* (0.050)","0.099** (0.050)","0.092* (0.050)","0.082 (0.050)"
"youth1","0.109 (0.137)","0.117 (0.137)","0.081 (0.137)","0.080 (0.137)"
"older_adults1","-0.034 (0.138)","-0.047 (0.138)","-0.060 (0.138)","-0.078 (0.139)"
"partymember1","0.354 (0.245)","0.378 (0.245)","0.315 (0.244)","0.388 (0.243)"
"impgreenele","0.059 (0.132)","0.071 (0.130)","0.023 (0.129)","0.025 (0.128)"
"heard_about_global_warmingyes and agree","0.027 (0.158)","","",""
"heard_about_global_warmingyes but disagree","-0.129 (0.201)","","",""
"know_about_low_carbonheard but do not know","","-0.146 (0.146)","",""
"know_about_low_carbonheard and know","","0.067 (0.200)","",""
"know_about_low_carbonfamiliar","","-0.536 (0.515)","",""
"know_about_carbon_neutralityheard but do not know","","","0.250* (0.140)",""
"know_about_carbon_neutralityheard and know","","","0.704*** (0.245)",""
"know_about_carbon_neutralityfamiliar","","","0.270 (0.872)",""
"know_about_carbon_policyheard but do not know","","","","0.353** (0.160)"
"know_about_carbon_policyheard and know","","","","0.991*** (0.286)"
"know_about_carbon_policyfamiliar","","","","0.567 (0.763)"
"AIC","3331.5","3331.28","3324.97","3319.67"
"BIC","3509.4","3513.98","3507.67","3502.37"
"N","905","905","905","905"
