"Variable","GW","LC","Neu","Pol"
"locationcounty seat","-0.938*** (0.284)","-0.965*** (0.282)","-0.972*** (0.287)","-0.994*** (0.291)"
"locationrural","-1.390*** (0.296)","-1.411*** (0.297)","-1.451*** (0.304)","-1.431*** (0.300)"
"heard_about_global_warmingyes and agree","0.279 (0.251)","","",""
"heard_about_global_warmingyes but disagree","0.145 (0.326)","","",""
"know_about_low_carbonheard but do not know","","0.251 (0.237)","",""
"know_about_low_carbonheard and know","","0.360 (0.351)","",""
"know_about_low_carbonfamiliar","","-1.232 (1.066)","",""
"know_about_carbon_neutralityheard but do not know","","","0.318 (0.250)",""
"know_about_carbon_neutralityheard and know","","","0.200 (0.505)",""
"know_about_carbon_neutralityfamiliar","","","-2.977*** (0.711)",""
"know_about_carbon_policyheard but do not know","","","","0.014 (0.268)"
"know_about_carbon_policyheard and know","","","","0.489 (0.563)"
"know_about_carbon_policyfamiliar","","","","-0.161 (0.649)"
"AIC","2304.31","2304.16","2302.06","2307.76"
"BIC","2470.86","2475.2","2473.1","2478.81"
"N","666","666","666","666"
