"Variable","GW","LC","Neu","Pol"
"is_bachelor","0.492 (0.322)","0.556* (0.330)","0.397 (0.337)","0.360 (0.328)"
"female","0.226 (0.282)","0.220 (0.264)","0.241 (0.273)","0.210 (0.268)"
"know_about_low_carbonheard but do not know","","-0.282 (0.331)","",""
"know_about_low_carbonheard and know","","0.021 (0.427)","",""
"know_about_low_carbonfamiliar","","0.684 (0.855)","",""
"know_about_carbon_neutralityheard but do not know","","","0.442 (0.316)",""
"know_about_carbon_neutralityheard and know","","","0.822* (0.451)",""
"know_about_carbon_neutralityfamiliar","","","-0.025 (0.795)",""
"know_about_carbon_policyheard but do not know","","","","0.718** (0.321)"
"know_about_carbon_policyheard and know","","","","1.004** (0.462)"
"know_about_carbon_policyfamiliar","","","","0.599 (1.380)"
"AIC","1684.56","1684.33","1680.77","1675.5"
"BIC","1838.44","1842.37","1838.82","1833.54"
"N","473","473","473","473"
