Block,Dependent Variable,B,max(log2(T)+1),eta,gamma,lambda
Pref Alt,Transportation-mode shifts I,50,8,0.143,2.561,0.949
Pref Alt,Home-energy reduction I,60,2,0.131,2.107,2.094
Pref Alt,Green-electricity I,40,2,0.125,3.382,2.441
Pref Alt,Transportation-mode shifts II,190,6,0.194,1.349,2.290
Pref Alt,Home-energy reduction II,20,2,0.189,1.575,1.986
Pref Alt,Green-electricity II,40,4,0.076,1.834,1.271
WTA,Transportation-mode shifts I,290,6,0.048,1.642,3.851
WTA,Home-energy reduction I,190,4,0.047,1.920,4.654
WTA,Green-electricity I,50,6,0.026,4.153,1.626
WTA,Transportation-mode shifts II,370,4,0.091,3.251,0.254
WTA,Home-energy reduction II,170,3,0.062,1.317,4.638
WTA,Green-electricity II,270,3,0.015,4.714,0.216
