Block,Dependent Variable,B,max(log2(T)+1),eta,gamma,lambda
Pref Alt,Transportation-mode shifts I,140,5,0.127,2.359,1.659
Pref Alt,Home-energy reduction I,140,5,0.127,2.359,1.659
Pref Alt,Green-electricity I,140,5,0.127,2.359,1.659
Pref Alt,Transportation-mode shifts II,140,5,0.127,2.359,1.659
Pref Alt,Home-energy reduction II,140,5,0.127,2.359,1.659
Pref Alt,Green-electricity II,140,5,0.127,2.359,1.659
WTA,Transportation-mode shifts I,290,6,0.048,1.642,3.851
WTA,Home-energy reduction I,190,4,0.047,1.920,4.654
WTA,Green-electricity I,50,6,0.026,4.153,1.626
WTA,Transportation-mode shifts II,370,4,0.091,3.251,0.254
WTA,Home-energy reduction II,170,3,0.062,1.317,4.638
WTA,Green-electricity II,270,3,0.015,4.714,0.216
